Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,clean_text,tokens,stemmed_tokens,polarity,predicted_sentiment
Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15.0,30.0,USA,2023,1,15,12,enjoying a beautiful day at the park,"['enjoying', 'beautiful', 'day', 'park']","['enjoy', 'beauti', 'day', 'park']",0.675,Positive
Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5.0,10.0,Canada,2023,1,15,8,traffic was terrible this morning,"['traffic', 'terrible', 'morning']","['traffic', 'terribl', 'morn']",-1.0,Negative
Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20.0,40.0,USA,2023,1,15,15,just finished an amazing workout,"['finished', 'amazing', 'workout']","['finish', 'amaz', 'workout']",0.6000000000000001,Positive
Excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,AdventureX,Facebook,#Travel #Adventure,8.0,15.0,UK,2023,1,15,18,excited about the upcoming weekend getaway,"['excited', 'about', 'upcoming', 'weekend', 'getaway']","['excit', 'about', 'upcom', 'weekend', 'getaway']",0.375,Positive
Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12.0,25.0,Australia,2023,1,15,19,trying out a new recipe for dinner tonight,"['trying', 'out', 'new', 'recipe', 'dinner', 'tonight']","['tri', 'out', 'new', 'recip', 'dinner', 'tonight']",0.13636363636363635,Positive
Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25.0,50.0,India,2023,1,16,9,feeling grateful for the little things in life,"['feeling', 'grateful', 'little', 'things', 'life']","['feel', 'grate', 'littl', 'thing', 'life']",-0.1875,Negative
Rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,RainyDays,Facebook,#RainyDays #Cozy,10.0,20.0,Canada,2023,1,16,14,rainy days call for cozy blankets and hot cocoa,"['rainy', 'days', 'call', 'cozy', 'blankets', 'hot', 'cocoa']","['raini', 'day', 'call', 'cozi', 'blanket', 'hot', 'cocoa']",0.02500000000000001,Neutral
The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15.0,30.0,USA,2023,1,16,19,the new movie release is a must watch,"['new', 'movie', 'release', 'must', 'watch']","['new', 'movi', 'releas', 'must', 'watch']",0.13636363636363635,Positive
Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30.0,60.0,USA,2023,1,17,8,political discussions heating up on the timeline,"['political', 'discussions', 'heating', 'timeline']","['polit', 'discuss', 'heat', 'timelin']",0.0,Neutral
Missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,#Summer #BeachDays,18.0,35.0,Australia,2023,1,17,12,missing summer vibes and beach days,"['missing', 'summer', 'vibes', 'beach', 'days']","['miss', 'summer', 'vibe', 'beach', 'day']",-0.2,Negative
